MUL ID|Chassis|Model|Source|Combined|Tech Base|Unit Type|Movement Type|Weight|Intro Date|Prototype|Production|Common|Extinct|Omni|Role|BV|Cost|Rules|Engine Name|Internal Structure|Myomer|Cockpit Type|Gyro Type|Armor Types|Equipment|Tech Rating|Unit Quirks|Weapon Quirks|Manufacturer|Factory|Targeting|Comms|Armor|JJ|Engine|Chassis_1|Fluff Date|Capabilities|Overview|History|Deployment|Notes|File Location|File Modified
2148|Mechanized Wheeled Platoon (FWLM)|(Rifle 3035+)|TW,TM|Mechanized Wheeled Platoon (FWLM) (Rifle 3035+)|Inner Sphere|Infantry|Wheeled|24.0|3030|3030-3034|3035+|-|-|false|Ambusher|109|1514384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Free Worlds League Infantry Kit (3035+)|C/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Wheeled Platoon (FWLM) (Rifle 3035+).blk|2026-06-13
7043|Jump Platoon (FWLM)|(LRM 3035+)|TO:AUE|Jump Platoon (FWLM) (LRM 3035+)|Inner Sphere|Infantry|Jump Infantry|3.5|3055|-|3055+|-|-|false|Ambusher|98|2192877|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryLRM,Free Worlds League Infantry Kit (3035+)|D/X-X-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of infantry LRM launcher. Model name date based on MUL name.|data/mekfiles/infantry/FWLM/Jump Platoon (FWLM) (LRM 3035+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Motorized AC2 3035+)||Field Gun Platoon (FWLM) (Motorized AC2 3035+)|Inner Sphere|Infantry|Motorized Infantry|33.5|3030|3030-3034|3035+|-|-|false|Sniper|222|1183390|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Autocannon/2,Free Worlds League Infantry Kit (3035+)|C/X-E-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Motorized AC2 3035+).blk|2026-06-13
-1|Field Artillery Platoon (FWLM)|(Tracked Sniper Cannon 3079+)||Field Artillery Platoon (FWLM) (Tracked Sniper Cannon 3079+)|Inner Sphere|Infantry|Tracked|44.0|3079|-|3079+|-|-|false|Missile Boat|137|2241781|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Submachine Gun,ISSniperCannon,Free Worlds League Infantry Kit (3035+)|C/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on production date of artillery cannons|data/mekfiles/infantry/FWLM/Field Artillery Platoon (FWLM) (Tracked Sniper Cannon 3079+).blk|2026-06-13
7017|Foot Platoon (FWLM)|(LRM 3035+)|TO:AUE|Foot Platoon (FWLM) (LRM 3035+)|Inner Sphere|Infantry|Foot Infantry|2.5|3055|-|3055+|-|-|false|Ambusher|110|1124552|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryLRM,Free Worlds League Infantry Kit (3035+)|D/X-X-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of infantry LRM launcher. Model name date based on MUL name.|data/mekfiles/infantry/FWLM/Foot Platoon (FWLM) (LRM 3035+).blk|2026-06-13
-1|Motorized Platoon (FWLM)|(Rifle AA 3056+)||Motorized Platoon (FWLM) (Rifle AA 3056+)|Inner Sphere|Infantry|Motorized Infantry|5.5|3056|-|3056+|-|-|false|Ambusher|104|1463960|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|AA Weapon (Mk. 1, Light),Free Worlds League Infantry Kit (3035+)|D/X-X-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on re-introduction date of AA weapon|data/mekfiles/infantry/FWLM/Motorized Platoon (FWLM) (Rifle AA 3056+).blk|2026-06-13
2132|Mechanized Hover Platoon (FWLM)|(Flamer 3035+)|TW,TM|Mechanized Hover Platoon (FWLM) (Flamer 3035+)|Inner Sphere|Infantry|Hover|20.0|3030|3030-3034|3035+|-|-|false|Ambusher|84|1316040|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Flamer (Man-Portable),Free Worlds League Infantry Kit (3035+)|C/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Hover Platoon (FWLM) (Flamer 3035+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Wheeled LBX20 3060+)||Field Gun Platoon (FWLM) (Wheeled LBX20 3060+)|Inner Sphere|Infantry|Wheeled|39.0|3060|-|3060+|-|-|false|Ambusher|314|2114384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,ISLBXAC20,Free Worlds League Infantry Kit (3035+)|E/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on common production date of LBX autocannon|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Wheeled LBX20 3060+).blk|2026-06-13
-1|Motorized Platoon (FWLM)|(Riot Police 3035+)||Motorized Platoon (FWLM) (Riot Police 3035+)|Inner Sphere|Infantry|Motorized Infantry|5.5|3030|3030-3034|3035+|-|-|false|Ambusher|91|1126001|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Sonic Stunner,Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Motorized Platoon (FWLM) (Riot Police 3035+).blk|2026-06-13
2147|Mechanized Wheeled Platoon (FWLM)|(MG 3035+)|TW,TM|Mechanized Wheeled Platoon (FWLM) (MG 3035+)|Inner Sphere|Infantry|Wheeled|24.0|3030|3030-3034|3035+|-|-|false|Ambusher|99|2675523|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Machine Gun (Portable),Free Worlds League Infantry Kit (3035+)|C/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Wheeled Platoon (FWLM) (MG 3035+).blk|2026-06-13
