className,subCategory,name,internalName,infantryDamage,infantryRange,shots,bursts,crew,ammoType,tonnage,bv,cost,rulesRefs,techBase,techRating,isIntroYear,clanIntroYear
InfantrySniperStalkerWeapon,,Sniper Rifle (Stalker Sniper Rifle),Sniper Rifle (Stalker Sniper Rifle),0.25,2,9,,,INFANTRY,.009,.25,5000,"HBHL, 147",IS,C,3055,
InfantryTWFlamerWeapon,,Total Warfare Flamer,Total Warfare Flamer,0.35,1,,,1,,.015,0.36,100,,ALL,C,2100,2100
InfantryArchaicBladeArchaicSwordWeapon,archaic,Blade (Archaic Sword)),Blade (Archaic Sword)),0.04,0,,,,NA,.0035,0.0,45,"195, ATOW-C",ALL,A,,
InfantryArchaicAxeWeapon,archaic,Blade (Axe/Hatchet/Tomahawk),Blade (Axe/Hatchet/Tomahawk),0.11,0,,,,NA,.004,0.10,25,"272, TM",ALL,A,,
InfantryArchaicBokkenWeapon,archaic,Blade (Bokken),Blade (Bokken),0.04,0,,,,NA,.002,0.04,15,"272, TM",ALL,A,,
InfantryArchaicCarbonReinforcedNailsWeapon,archaic,Blade (Carbon-Reinforced Nails),Blade (Carbon-Reinforced Nails),0.02,0,,,,NA,0,0.02,1000,"272, TM",IS,D,2980,
InfantryArchaicDaggerWeapon,archaic,Blade (Dagger/Knife/Bayonet),Blade (Dagger/Knife/Bayonet),0.02,0,,,,NA,.0025,0.02,8,"272, TM",ALL,A,,
InfantryArchaicDaoWeapon,archaic,Blade (Dao/Katana/No-Dachi/Sword/Wakizashi),Blade (Dao/Katana/No-Dachi/Sword/Wakizashi),0.04,0,,,,NA,.003,0.04,200,"272, TM",ALL,A,,
InfantryArchaicHatchetWeapon,archaic,Blade (Hatchet/Tomahawk) (Unofficial),Blade (Hatchet/Tomahawk) (Unofficial),0.04,0,,,,NA,.001,0.04,10,"272, TM",ALL,A,1950,1950
InfantryArchaicBladeJoustingLanceWeapon,archaic,Blade (Jousting Lance),Blade (Jousting Lance),0.05,0,,,,NA,.0035,0.0,65,"195, ATOW-C",ALL,A,,
InfantryArchaicNoDachiWeapon,archaic,Blade (No-Dachi),Blade (No-Dachi),0.05,0,,,,NA,.0045,0.05,300,"272, TM",ALL,A,1950,1950
InfantryArchaicShurikenWeapon,archaic,Blade (Shuriken/Thrown Knives),Blade (Shuriken/Thrown Knives),0,0,,,,NA,.0001,0,5,"272, TM",ALL,A,,
InfantryArchaicSwordWeapon,archaic,Blade (Sword),Blade (Sword),0.07,0,,,,NA,.003,0.06,30,"272, TM",ALL,A,,
InfantryArchaicVibroAxeWeapon,archaic,Blade (Vibro-axe),Blade (Vibro-axe),0.42,0,,,,NA,.005,0.39,150,"272, TM",ALL,E,,
InfantryArchaicVibroBladeWeapon,archaic,Blade (Vibro-blade),Blade (Vibro-blade),0.21,0,,,,NA,.00035,0.19,100,"272, TM",ALL,D,,
InfantryArchaicVibroKatanaWeapon,archaic,Blade (Vibro-katana),Blade (Vibro-katana),0.32,0,,,,NA,.003,0.29,350,"272, TM",ALL,E,2440,2440
InfantryArchaicClanVibroSwordWeapon,archaic,Blade (Vibro-sword) [Clan],Blade (Vibro-sword) [Clan],0.37,0,,,,NA,.004,0.34,500,"272, TM",CLAN,F,,2815
InfantryArchaicISVibroSwordWeapon,archaic,"Blade (Vibro-sword, I.S.)","Blade (Vibro-sword, I.S.)",0.32,0,,,,NA,.004,0.29,300,"272, TM",ALL,E,2435,2435
InfantryArchaicWakizashiWeapon,archaic,Blade (Wakizashi),Blade (Wakizashi),0.02,0,,,,NA,.0002,0.02,150,"272, TM",ALL,A,1950,1950
InfantryArchaicBladeZweihanderSwordWeapon,archaic,Blade (Zweihander Sword),Blade (Zweihander Sword),0.05,0,,,,NA,0.0051,0.0,60,"195, ATOW-C",ALL,A,1950,1950
InfantryArchaicCompoundBowWeapon,archaic,Bow (Compound),Bow (Compound),0.01,0,,,,NA,.001,0.01,15,"272, TM",ALL,C,1950,1950
InfantryArchaicDaikyuBowWeapon,archaic,Bow (Daikyu),Bow (Daikyu),0.01,0,,,,NA,.001,0.01,30,"272, TM",ALL,A,1950,1950
InfantryArchaicHankyuBowWeapon,archaic,Bow (Hankyu),Bow (Hankyu),0.0,0,,,,NA,.0008,0.0,15,"272, TM",ALL,A,1950,1950
InfantryArchaicLongBowWeapon,archaic,Bow (Long bow),Bow (Long bow),0.01,0,,,,NA,.0015,0.01,20,"272, TM",ALL,A,1950,1950
InfantryArchaicPrimitiveBowWeapon,archaic,Bow (Primitive),Bow (Primitive),0.02,0,,,,NA,0.001,0.0,5,"195, AToW-C",ALL,A,1950,1950
InfantryArchaicShortBowWeapon,archaic,Bow (Shortbow),Bow (Shortbow),0.0,0,,,,NA,.0008,0.0,10,"272, TM",ALL,A,1950,1950
InfantryArchaicBlackjackWeapon,archaic,Club (Blackjack/Sap),Club (Blackjack/Sap),0.05,0,,,,NA,.001,0.05,5,"272, TM",ALL,A,1950,1950
InfantryArchaicImprovisedClubWeapon,archaic,Club (Club/Improvised),Club (Club/Improvised),0.02,0,,,,NA,.002,0.02,0,"272, TM",ALL,A,1950,1950
InfantryArchaicVibroMaceWeapon,archaic,Club (Vibro-Mace),Club (Vibro-Mace),0.26,0,,,,NA,.004,0.24,300,"272, TM",IS,E,3000,
InfantryArchaicYumiBowWeapon,archaic,Compound Yumi (Bow) (Unofficial),Compound Yumi (Bow) (Unofficial),0.01,0,,,,NA,.001,0.01,30,"272, TM",ALL,C,1950,1950
InfantryArchaicBasicCrossbowWeapon,archaic,Crossbow (Basic/Heavy),Crossbow (Basic/Heavy),0.01,0,,,,NA,.002,0.01,10,"272, TM",ALL,A,1950,1950
InfantryArchaicHeavyCrossbowWeapon,archaic,Crossbow (Heavy)(Unofficial),Crossbow (Heavy)(Unofficial),0.02,0,,,,NA,.004,0.02,20,"272, TM",ALL,A,1950,1950
InfantryArchaicKatanaWeapon,archaic,Katana (Unofficial),Katana (Unofficial),0.07,0,,,,NA,.0025,0.06,250,"272, TM",ALL,A,1950,1950
