className,javaPackage,category,name,internalName,sortingName,heat,damage,rackSize,minimumRange,shortRange,mediumRange,longRange,extremeRange,waterShortRange,waterMediumRange,waterLongRange,waterExtremeRange,tonnage,criticalSlots,bv,cost,shortAV,medAV,longAV,extAV,maxRange,explosionDamage,rulesRefs,techBase,techRating,isIntroYear,clanIntroYear
AlamoMissileWeapon,megamek.common.weapons,,Alamo Missile,,,0,10,1,,6,12,24,40,,,,,0,0,0.0,0,10,10,,,Medium,,,IS,C,3071,
TeleMissile,megamek.common.weapons,,Kraken-T Missile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrowIV,megamek.common.weapons.artillery,artillery,Arrow IV,ArrowIV,,10,,20,,,,,,,,,,,,240,450000,,,,,,,"96, TO:AUE",,,,
ISCruiseMissile120,megamek.common.weapons.artillery,artillery,Cruise Missile/120,ISCruiseMissile120,,120,,120,,1,2,150,150,,,,,135,120,2281,3000000,,,,,,,"97, TO:AUE",IS,E,3065,
ISCruiseMissile50,megamek.common.weapons.artillery,artillery,Cruise Missile/50,ISCruiseMissile50,Cruise Missile/050,50,,50,,1,2,50,50,,,,,55,55,601,900000,,,,,,,"97, TO:AUE",IS,E,3065,
ISCruiseMissile70,megamek.common.weapons.artillery,artillery,Cruise Missile/70,ISCruiseMissile70,Cruise Missile/070,70,,70,,1,2,90,90,,,,,80,80,1031,1250000,,,,,,,"97, TO:AUE",IS,E,3065,
ISCruiseMissile90,megamek.common.weapons.artillery,artillery,Cruise Missile/90,ISCruiseMissile90,Cruise Missile/090,90,,90,,1,2,120,120,,,,,100,100,1530,1250000,,,,,,,"97, TO:AUE",IS,E,3065,
LongTom,megamek.common.weapons.artillery,artillery,Long Tom,ISLongTom,,20,,25,,1,2,30,30,,,,,30,30,368,450000,,,,,,,"96, TO:AUE",ALL,B,,
LongTomCannon,megamek.common.weapons.artillery,artillery,Long Tom Cannon,ISLongTomCannon,Cannon Arty Long Tom,20,,20,4,6,13,20,30,,,,,20,15,329,650000,20,20,20,,Long,,"97, TO:AUE",ALL,B,3012,3032
Sniper,megamek.common.weapons.artillery,artillery,Sniper,,,10,,20,,1,2,18,18,,,,,20,20,85,300000,,,,,,,"96, TO:AUE",ALL,B,,
SniperCannon,megamek.common.weapons.artillery,artillery,Sniper Cannon,ISSniperCannon,Cannon Arty Sniper,10,,10,2,4,8,12,16,,,,,15,10,77,475000,10,10,10,,Medium,,"97, TO:AUE",ALL,B,3012,3032
Thumper,megamek.common.weapons.artillery,artillery,Thumper,,,5,,15,,1,2,21,21,,,,,15,15,43,187500,,,,,,,"96, TO:AUE",ALL,B,,
ThumperCannon,megamek.common.weapons.artillery,artillery,Thumper Cannon,ISThumperCannon,Cannon Arty Thumper,5,,5,3,4,9,14,21,,,,,10,7,41,200000,5,5,5,,Medium,,"97, TO:AUE",ALL,B,3012,3032
AltitudeBombAttack,megamek.common.weapons.attacks,attacks,Altitude Bomb,,,0,,,,0,0,0,0,,,,,0.0,0,0,0,,,,,,,,ALL,,,
SwarmWeaponAttack,megamek.common.weapons.attacks,attacks,Attack Swarmed Mek,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,D,,
DiveBombAttack,megamek.common.weapons.attacks,attacks,Dive Bomb,,,0,,,,0,0,0,0,,,,,0.0,0,0,0,,,,,,,,ALL,,,
LegAttack,megamek.common.weapons.attacks,attacks,Leg Attack,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,D,,
SpaceBombAttack,megamek.common.weapons.attacks,attacks,Space Bomb,,,0,,,,0,0,0,0,,,,,0.0,0,0,0,,,,,,,,ALL,,,
StopSwarmAttack,megamek.common.weapons.attacks,attacks,Stop Swarm Attack,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,D,,
SwarmAttack,megamek.common.weapons.attacks,attacks,Swarm Mek,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,D,,
ISAC10,megamek.common.weapons.autoCannons.innerSphere,autoCannons,AC/10,Autocannon/10,,3,10,10,,5,10,15,20,,,,,12.0,7,123,200000,10,10,,,Medium,,"208, TM",ALL,C,2443,2443
ISAC2,megamek.common.weapons.autoCannons.innerSphere,autoCannons,AC/2,Autocannon/2,AC/02,1,2,2,4,8,16,24,32,,,,,6.0,1,37,75000,2,2,2,,Long,,"208, TM",ALL,C,2290,2290
ISAC20,megamek.common.weapons.autoCannons.innerSphere,autoCannons,AC/20,Autocannon/20,,7,20,20,,3,6,9,12,,,,,14.0,10,178,300000,20,,,,Short,,"208, TM",ALL,C,2488,2488
ISAC5,megamek.common.weapons.autoCannons.innerSphere,autoCannons,AC/5,Autocannon/5,AC/05,1,5,5,3,6,12,18,24,,,,,8.0,4,70,125000,5,5,,,Medium,,"208, TM",ALL,C,2240,2240
ISHVAC10,megamek.common.weapons.autoCannons.innerSphere,autoCannons,HVAC/10,Hyper Velocity Auto Cannon/10,,7,10,10,,6,12,20,30,,,,,14.0,6,158,230000,10,10,10,,Long,10,"97, TO:AUE",IS,D,3059,
ISHVAC2,megamek.common.weapons.autoCannons.innerSphere,autoCannons,HVAC/2,Hyper Velocity Auto Cannon/2,HVAC/02,1,2,2,3,10,20,35,52,,,,,8.0,2,53,100000,2,2,2,2,Extreme,2,"97, TO:AUE",IS,D,3059,
ISHVAC5,megamek.common.weapons.autoCannons.innerSphere,autoCannons,HVAC/5,Hyper Velocity Auto Cannon/5,HVAC/05,3,5,5,,8,16,28,42,,,,,12.0,4,109,160000,5,5,5,5,Extreme,5,"97, TO:AUE",IS,D,3059,
CLImprovedAC10,megamek.common.weapons.autoCannons.clan,autoCannons,Improved Autocannon/10,Improved Autocannon/10,,3,10,10,,5,10,15,20,,,,,11.0,6,123.0,200000,10,10,,,Medium,,"90, IO:AE",CLAN,D,,
CLImprovedAC2,megamek.common.weapons.autoCannons.clan,autoCannons,Improved Autocannon/2,Improved Autocannon/2,Improved Autocannon/02,1,2,2,4,8,16,24,32,,,,,5.0,1,37.0,75000,2,2,2,,Long,,"90, IO:AE",CLAN,D,,
CLImprovedAC20,megamek.common.weapons.autoCannons.clan,autoCannons,Improved Autocannon/20,Improved Autocannon/20,,7,20,20,,3,6,9,12,,,,,13.0,9,178.0,300000,20,,,,Short,,"90, IO:AE",CLAN,D,,
CLImprovedAC5,megamek.common.weapons.autoCannons.clan,autoCannons,Improved Autocannon/5,Improved Autocannon/5,Improved Autocannon/05,1,5,5,3,6,12,18,24,,,,,7.0,2,70.0,125000,5,5,,,Medium,,"90, IO:AE",CLAN,D,,
CLLB10XAC,megamek.common.weapons.autoCannons.clan,autoCannons,LB 10-X AC,CLLBXAC10,,2,10,10,,6,12,18,24,,,,,10.0,5,148,400000,,,,,Medium,,"207, TM",CLAN,F,,2824
ISLB10XAC,megamek.common.weapons.autoCannons.innerSphere,autoCannons,LB 10-X AC,ISLBXAC10,,2,10,10,,6,12,18,24,,,,,11.0,6,148,400000,,,,,Medium,,"207, TM",IS,E,2590,
